run_id,seed,epsilon,extremist_proportion,number_of_extremists,number_of_clusters
20260619_161243_875155_ext0_seed1,1,0.05,0.0,0,7
20260619_161243_875155_ext0_seed2,2,0.05,0.0,0,8
20260619_161243_875155_ext0_seed3,3,0.05,0.0,0,6
20260619_161243_875155_ext0_seed4,4,0.05,0.0,0,7
20260619_161243_875155_ext0_seed5,5,0.05,0.0,0,6
20260619_161243_875155_ext50_seed1,1,0.05,0.05,50,9
20260619_161243_875155_ext50_seed2,2,0.05,0.05,50,9
20260619_161243_875155_ext50_seed3,3,0.05,0.05,50,8
20260619_161243_875155_ext50_seed4,4,0.05,0.05,50,9
20260619_161243_875155_ext50_seed5,5,0.05,0.05,50,8
20260619_161243_875155_ext100_seed1,1,0.05,0.1,100,9
20260619_161243_875155_ext100_seed2,2,0.05,0.1,100,11
20260619_161243_875155_ext100_seed3,3,0.05,0.1,100,7
20260619_161243_875155_ext100_seed4,4,0.05,0.1,100,10
20260619_161243_875155_ext100_seed5,5,0.05,0.1,100,8
20260619_161243_875155_ext250_seed1,1,0.05,0.25,250,9
20260619_161243_875155_ext250_seed2,2,0.05,0.25,250,10
20260619_161243_875155_ext250_seed3,3,0.05,0.25,250,9
20260619_161243_875155_ext250_seed4,4,0.05,0.25,250,9
20260619_161243_875155_ext250_seed5,5,0.05,0.25,250,9
20260619_161243_875155_ext500_seed1,1,0.05,0.5,500,9
20260619_161243_875155_ext500_seed2,2,0.05,0.5,500,10
20260619_161243_875155_ext500_seed3,3,0.05,0.5,500,7
20260619_161243_875155_ext500_seed4,4,0.05,0.5,500,9
20260619_161243_875155_ext500_seed5,5,0.05,0.5,500,7
20260619_161243_875155_ext750_seed1,1,0.05,0.75,750,10
20260619_161243_875155_ext750_seed2,2,0.05,0.75,750,10
20260619_161243_875155_ext750_seed3,3,0.05,0.75,750,8
20260619_161243_875155_ext750_seed4,4,0.05,0.75,750,8
20260619_161243_875155_ext750_seed5,5,0.05,0.75,750,8
